neurons   MSEtrain  MSEtest
10 0.1688015449245393 0.20144619397417737
20 0.053496681711148124 0.0895191434409603
30 0.038623028791770014 0.07335261315200055
40 0.045117999002630284 0.03742923004308541
50 0.027786143565998605 0.05575082254722825
60 0.033823861028244626 0.03388207866698017
70 0.01872440820023589 0.03161977873383085
80 0.02187002915680841 0.024502240419225017
90 0.021842030521245667 0.029412007002024964
