neurons   R2train  R2test
10 0.8296697475873726 0.805296174293421
20 0.9460188394414796 0.913477046361247
30 0.9610271917476627 0.9291024857580581
40 0.9544734015206664 0.9638235196264143
50 0.9719622184187603 0.9461151475632973
60 0.9658698219315112 0.9672519484771306
70 0.9811060190447368 0.9694385296340641
80 0.9779319105863873 0.976317845207753
90 0.9779601627843441 0.9715724076388506
