poly_degree   lambda  R2train  R2test
10 0 0.9823838738090608 0.9088148426118589
10 1e-06 0.9824060149183169 0.9089696124658598
10 1e-05 0.9823552601061273 0.9087421848934877
10 0.0001 0.9822850195094001 0.9084526650914081
10 0.001 0.9821743462437638 0.9080767266142481
10 0.01 0.9820236568937805 0.9074181743565746
10 0.1 0.9815870335869934 0.9058269769466438
10 1.0 0.978532682888336 0.8995810147820786
11 0 0.9858325025368554 0.9150715236180221
11 1e-06 0.9858543431380613 0.9151502657715874
11 1e-05 0.9858274990616035 0.9154856642007314
11 0.0001 0.9857553933545183 0.914352871479339
11 0.001 0.9856545389492775 0.9139542546001068
11 0.01 0.9855093027441759 0.9134684505480256
11 0.1 0.9850692910223724 0.9120849216657769
11 1.0 0.9827531516356912 0.9076731619256699
12 0 0.987895379604085 0.9209718818180934
12 1e-06 0.9878970742306069 0.9210719992676826
12 1e-05 0.9879264703853267 0.921078857292398
12 0.0001 0.9878550504448113 0.9211877390332587
12 0.001 0.9877527507950425 0.9199645074880727
12 0.01 0.987590805482323 0.9191763136693265
12 0.1 0.9871070520947854 0.9176833394036982
12 1.0 0.9849735182867854 0.9138928699923682
13 0 0.9898245526272164 0.9280383348095378
13 1e-06 0.989824627964119 0.9279418132165809
13 1e-05 0.9898252829118562 0.9282652901803589
13 0.0001 0.9897253251326397 0.9252519252723618
13 0.001 0.9897294141142178 0.9271661430784252
13 0.01 0.9895744525978388 0.9260749729280056
13 0.1 0.9888973958089057 0.9238158282458812
13 1.0 0.9865626234124243 0.9192883196846153
14 0 0.9907560081848468 0.9332287096287248
14 1e-06 0.990756037793741 0.933461383924381
14 1e-05 0.9907566889077002 0.9332521007220561
14 0.0001 0.9907627513201315 0.9336019517074617
14 0.001 0.9907447194688942 0.9330494792075116
14 0.01 0.9906168400652964 0.9317884654184183
14 0.1 0.9899658988869141 0.9290771076687043
14 1.0 0.9874803096983767 0.9235075286960659
15 0 0.9911967601807607 0.9369488603722298
15 1e-06 0.9911969132542394 0.9373184057423289
15 1e-05 0.9911976089318125 0.9371733881797815
15 0.0001 0.9911963550711822 0.9373242367174917
15 0.001 0.9908125815407632 0.9308855878236386
15 0.01 0.9911067322771294 0.9357110544480216
15 0.1 0.99065570618955 0.9335828498529298
15 1.0 0.9882673120390768 0.9282609767079282
16 0 0.9914319996099484 0.9396390278406668
16 1e-06 0.9914317276636595 0.9401183817880588
16 1e-05 0.9914322799468653 0.9397217391083971
16 0.0001 0.9914332399745799 0.9397807597456587
16 0.001 0.9914487299828458 0.9396719424317477
16 0.01 0.9910566497479298 0.9341738042559784
16 0.1 0.9910887650873952 0.9373911547476652
16 1.0 0.9889449510575438 0.9327034316946534
17 0 0.9916411109849051 0.941332301171637
17 1e-06 0.9916432218366079 0.9413540079679439
17 1e-05 0.9916407340956328 0.941501398419912
17 0.0001 0.991642421850712 0.9414711795084068
17 0.001 0.9916442294298514 0.9412426827531593
17 0.01 0.9917490150920613 0.9413166887876956
17 0.1 0.991374968375387 0.9413271802919603
17 1.0 0.9893780853600118 0.9361478491605046
18 0 0.9917367575330513 0.9423558852576195
18 1e-06 0.9917330692747689 0.9418109073376961
18 1e-05 0.9917333390444948 0.9418409895369045
18 0.0001 0.9917375332011668 0.9422665447752644
18 0.001 0.9917357110808998 0.942364810998242
18 0.01 0.9917936507302614 0.9425661169017729
18 0.1 0.9915180446194439 0.9456799032330605
18 1.0 0.989778782971848 0.9391381221425756
19 0 0.9913759840726133 0.9440353634959308
19 1e-06 0.9913792151438536 0.9442347356131091
19 1e-05 0.9913766193842645 0.944314106489552
19 0.0001 0.9913846491441978 0.9443712729227529
19 0.001 0.9913729633414653 0.9441808964973757
19 0.01 0.9914205450242373 0.9442352145591992
19 0.1 0.9916587631522532 0.9435657971293733
19 1.0 0.9899221924110073 0.9433772003471254
20 0 0.9902519935696752 0.9413370615788683
20 1e-06 0.9902613774841394 0.9412485713845438
20 1e-05 0.9902539896047707 0.9414774017112305
20 0.0001 0.9902644088695218 0.9413260543990396
20 0.001 0.9902758650246948 0.9413411224709909
20 0.01 0.9902532072971252 0.9413829904178685
20 0.1 0.9901648489182994 0.9411667037373999
20 1.0 0.9901509746446862 0.9405418425090939
21 0 0.9873789991916709 0.937223049260838
21 1e-06 0.987394523197232 0.9374668049126362
21 1e-05 0.9873873014364882 0.9374275303448258
21 0.0001 0.9873862689317061 0.9374869574923332
21 0.001 0.9873869923662616 0.9376985655576595
21 0.01 0.9873831609343722 0.9377959124353046
21 0.1 0.9874005232415322 0.9378003299598758
21 1.0 0.9877525049474117 0.9375526086493227
22 0 0.9861322131463476 0.9340551989265813
22 1e-06 0.9861155694106477 0.9337191405929632
22 1e-05 0.9861023353456531 0.9339273908600317
22 0.0001 0.986110453833384 0.9342180446398104
22 0.001 0.9860939465094415 0.9338991656972548
22 0.01 0.9860910920787412 0.9339437639898706
22 0.1 0.9860958934891705 0.9336540225813079
22 1.0 0.986114818202189 0.9339233402003084
23 0 0.9847118307237626 0.9323958468276461
23 1e-06 0.9846388357221757 0.9318912291056739
23 1e-05 0.9846894661840033 0.9328571068667847
23 0.0001 0.9846282872185299 0.9319774229599007
23 0.001 0.9846639707228422 0.9324016060608123
23 0.01 0.9846845399394967 0.9322470245059872
23 0.1 0.9847073076219091 0.9323040770793336
23 1.0 0.9846942598348579 0.9319367508179476
