poly_degree   lambda  MSEtrain  MSEtest
1 0 1.0135524751582867 0.7906792228187144
1 1e-06 1.0135524751582867 0.7906792227272972
1 1e-05 1.0135524751582878 0.7906792219045455
1 0.0001 1.013552475158405 0.7906792136771482
1 0.001 1.0135524751701297 0.7906791314151611
1 0.01 1.0135524763421597 0.7906783099934519
1 0.1 1.0135525931170353 0.7906702151440431
1 1.0 1.0135638549673762 0.790600767901304
2 0 0.5328576411157973 0.40376975292598205
2 1e-06 0.5328576411158354 0.40376974226870493
2 1e-05 0.5328576411196038 0.4037696463577233
2 0.0001 0.5328576414963652 0.40376868769749863
2 0.001 0.532857679096477 0.40375914595830276
2 0.01 0.5328613643063989 0.40366812777255323
2 0.1 0.533165868628068 0.40312293085881323
2 1.0 0.5413864141740587 0.4072693011944008
3 0 0.3074758653797575 0.24356104550017713
3 1e-06 0.30747586538514504 0.24356113041691038
3 1e-05 0.30747586591794235 0.24356189471653347
3 0.0001 0.3074759186563424 0.243569542315121
3 0.001 0.3074806939129955 0.24364623001019128
3 0.01 0.3076981255221736 0.24433138584268738
3 0.1 0.30918708845434123 0.24684479976260204
3 1.0 0.3194549125885257 0.25726738937740007
4 0 0.18520789518459463 0.16641407709834635
4 1e-06 0.18520789518939704 0.1664142072742856
4 1e-05 0.18520789564158968 0.16641534905003239
4 0.0001 0.1852079249876439 0.16642450156547847
4 0.001 0.18520844832041408 0.16645809006072126
4 0.01 0.18522817105206474 0.16658673799648188
4 0.1 0.18583817533187424 0.16790220332673686
4 1.0 0.19008006248984283 0.17558881251285713
5 0 0.11613884545370401 0.12137201795156431
5 1e-06 0.11613959189179138 0.12134897310985787
5 1e-05 0.11615360812765683 0.12127664257359873
5 0.0001 0.1161792234522663 0.12122557839337256
5 0.001 0.11626460711257655 0.12154779184065688
5 0.01 0.11677432698120303 0.12271869190296696
5 0.1 0.11729817192117192 0.1233940592882446
5 1.0 0.11847996582153247 0.12606867955574866
6 0 0.07666767383286653 0.09632466213401014
6 1e-06 0.07671104890933785 0.09660556510310081
6 1e-05 0.07672736882107414 0.0966916313492951
6 0.0001 0.07675992096482397 0.09688444015932825
6 0.001 0.07693512789136885 0.09746374753982773
6 0.01 0.07750635299529883 0.09867589383118702
6 0.1 0.07877349860926244 0.10065175904102475
6 1.0 0.08143893474718261 0.10434864538891271
7 0 0.051007730310386454 0.08641833588094638
7 1e-06 0.05107447187163296 0.08708439886861374
7 1e-05 0.05121356093267067 0.0878928903009665
7 0.0001 0.05134320643577937 0.08857667478235876
7 0.001 0.05149134878607324 0.08934234723987101
7 0.01 0.05172741656930662 0.09028803188948077
7 0.1 0.05262076010486876 0.09210494612795538
7 1.0 0.05640038036825265 0.09628537000999442
8 0 0.035881152808674134 0.0832190441214409
8 1e-06 0.03588373454903046 0.08325162713329341
8 1e-05 0.03592104247901491 0.08346690369488284
8 0.0001 0.036035883554097745 0.08423694743869166
8 0.001 0.0362236587195485 0.08529519780110102
8 0.01 0.03657927320061053 0.08667675586517476
8 0.1 0.03718954693026123 0.08863559795386151
8 1.0 0.040729580735475016 0.0937942705783975
9 0 0.026011137953244622 0.07953088731152817
9 1e-06 0.026067366566036306 0.07988482570432265
9 1e-05 0.02611633145412179 0.08007668162514252
9 0.0001 0.02616460571799672 0.08026502762205857
9 0.001 0.026247284038357847 0.08091218927827214
9 0.01 0.02637131883786072 0.08181270437425193
9 0.1 0.026847616766205458 0.08354348341263043
9 1.0 0.03046529918261523 0.08952637996865677
10 0 0.018412341873850418 0.07453429683867221
