eta   R2train  R2test
0.002 0.970200990706035 0.968723122863369
0.001 0.9716005220359435 0.9698036833305471
0.0005 0.9721246356872566 0.9698204488841278
0.0003333333333333333 0.9707778474669176 0.968057449918374
0.00025 0.9684636532022838 0.9654550645671538
0.0002 0.9657702069323044 0.9625951117318294
0.0001 0.9523387309834469 0.949085988588779
5e-05 0.9330346763964764 0.9301240855684906
3.3333333333333335e-05 0.9182996546113614 0.915768417530925
2.5e-05 0.8990966002344762 0.8966640874466666
2e-05 0.8715714540683119 0.8688665646122622
1e-05 0.6480292206661646 0.6412365651996966
5e-06 0.16791643531416606 0.1523253169381374
3.3333333333333333e-06 -0.18069613806869217 -0.20208393227585514
2.5e-06 -0.42490022679504025 -0.4497920938686232
2e-06 -0.6043981951070183 -0.6316824228152108
1e-06 -1.3289534327701078 -1.3951432615739285
