NumNeurons   Acctrain  Acctest
1 0.20668058455114824 0.17777777777777778
2 0.3945720250521921 0.3611111111111111
3 0.48295059151009045 0.475
4 0.8350730688935282 0.8444444444444444
5 0.7202505219206681 0.7333333333333333
6 0.8364648573416841 0.8111111111111111
7 0.6910229645093946 0.6972222222222222
8 0.9095337508698678 0.8888888888888888
9 0.954070981210856 0.9027777777777778
10 0.9380654140570633 0.9
11 0.9227557411273486 0.9083333333333333
12 0.9526791927627001 0.9166666666666666
13 0.9742519137091162 0.925
14 0.9798190675017397 0.9166666666666666
15 0.9853862212943633 0.9361111111111111
16 0.9839944328462074 0.9416666666666667
17 0.9749478079331941 0.9277777777777778
18 0.9791231732776617 0.9111111111111111
19 0.9749478079331941 0.9361111111111111
20 0.988169798190675 0.9222222222222223
21 0.9832985386221295 0.9305555555555556
22 0.9853862212943633 0.9277777777777778
23 0.9930410577592206 0.925
24 0.9895615866388309 0.9444444444444444
25 0.9895615866388309 0.925
26 0.9902574808629089 0.9444444444444444
27 0.9958246346555324 0.9305555555555556
28 0.9958246346555324 0.9472222222222222
29 0.9972164231036882 0.9388888888888889
30 0.9895615866388309 0.9194444444444444
31 0.9909533750869868 0.9472222222222222
32 0.9951287404314544 0.9444444444444444
33 0.9986082115518441 0.9444444444444444
34 0.9958246346555324 0.9416666666666667
35 0.9923451635351427 0.9222222222222223
36 0.9923451635351427 0.9361111111111111
37 0.9958246346555324 0.95
38 0.9958246346555324 0.9388888888888889
39 0.9986082115518441 0.9416666666666667
40 0.9958246346555324 0.95
41 0.9986082115518441 0.9277777777777778
42 0.9965205288796103 0.925
43 0.9993041057759221 0.95
44 0.9916492693110647 0.9305555555555556
45 0.9993041057759221 0.9527777777777777
46 0.9972164231036882 0.9444444444444444
47 0.9958246346555324 0.9277777777777778
48 0.9923451635351427 0.9333333333333333
49 0.9972164231036882 0.9388888888888889
50 0.9986082115518441 0.9527777777777777
