eta   R2train  R2test
1 0.9606104661526205 0.9571057135098112
5 0.9630299309477532 0.961434007038133
10 0.9643195299218918 0.9620523284827357
15 0.9626881260425229 0.9590424725372682
20 0.9609468136145989 0.9575301229527715
30 0.9562604354967832 0.952770987437814
45 0.9496291476864986 0.9468359236760702
60 0.9434403460869311 0.9403674625381685
90 0.9331975410983059 0.9301539032468076
