eta   R2train  R2test
0.002 0.9619495635873179 0.9604034838459908
0.001 0.9630299309477532 0.961434007038133
0.0005 0.9634430313277751 0.9614770725348307
0.0003333333333333333 0.9623775462202108 0.9601154333792208
0.00025 0.9605763745793758 0.9580916888908396
0.0002 0.9584463623920852 0.9558122661636039
0.0001 0.9473242882245942 0.9444982544228232
5e-05 0.930115872519752 0.9274567627471584
3.3333333333333335e-05 0.9158634596703521 0.9134776887383914
2.5e-05 0.897155083711651 0.894820734102017
2e-05 0.8705350718878921 0.8679206968239341
1e-05 0.6530175342490312 0.6463868938693024
5e-06 0.17850516101699712 0.16312930278426166
3.3333333333333333e-06 -0.1692894200457292 -0.19046781366134882
2.5e-06 -0.41396381689568534 -0.4386656126401659
2e-06 -0.5941997133439246 -0.621310677585259
1e-06 -1.320278626875383 -1.3861527024039841
