eta   MSEtrain  MSEtest
1 0.03121974992874863 0.024030889277121797
2 0.04913537614459403 0.03582150907128855
3 0.04781709728964753 0.04004890789284962
4 0.07048803667786087 0.0668035749196187
5 0.0229239805312679 0.02667547960170148
6 0.019410216952151157 0.02355000375183506
7 0.014353046059742953 0.018466295309919136
8 0.012152213572718841 0.014527545957030177
9 0.010395875539318053 0.012322519260466576
10 0.009536809180181176 0.015543319224737045
11 0.008672891650992767 0.009561216593393262
12 0.008296051248617122 0.02470660614661885
13 0.005701753774240869 0.00755764474607875
14 0.0068550052376386995 0.011504911047526158
15 0.007709455225280304 0.012772642579852016
16 0.010185102879322342 0.012482803824612329
17 0.006578141132168472 0.008196721364748692
18 0.004943574623824708 0.007648369821166679
19 0.005249353408525118 0.014648619406778206
20 0.0047236928515853515 0.008183228445863196
21 0.005751573258396408 0.013555059837780907
22 0.00540948270624923 0.00994660497372814
23 0.0045408602785919835 0.006092315566429801
24 0.0046884800242529955 0.00892759648480612
25 0.004770393098883391 0.015071530927607263
26 0.005756514113838855 0.012357249698218113
27 0.005060102786160091 0.010261085210571421
28 0.004992993675231348 0.01220168858658436
29 0.004447241759045478 0.013255559639675202
30 0.004552991586705463 0.00930780785384584
31 0.004391440473083704 0.009649769885316477
32 0.0038757014598294493 0.01499418413722602
33 0.0050597757562375854 0.014475659766628714
34 0.004855657321611348 0.03240207127609127
35 0.0037627026982609718 0.013966718146508598
36 0.0031208969964026463 0.011615471917086936
37 0.003704738804260993 0.007193533284771741
38 0.0032343744484047816 0.00907934900996704
39 0.002877304575109561 0.011271950780840985
40 0.0034572384815723433 0.02167503183439988
41 0.005077154308613162 0.02542766227014688
42 0.003067433571561609 0.012829975603105824
43 0.0037116971842506914 0.015910576241830288
44 0.004084173911801297 0.025816946782023193
45 0.002232110581893413 0.006291006523581788
46 0.0034390519737315527 0.010833501643362053
47 0.004820525268668401 0.015774499499989415
48 0.003542721815624439 0.02515224361623549
49 0.0032386700980236525 0.015591786038368987
50 0.0036926961502503396 0.014191815078084032
