eta   MSEtrain  MSEtest
0.002 0.0298975203952907 0.031220149535401774
0.001 0.028591667405942385 0.030208149478611356
0.0005 0.028338925204559835 0.03044865443991897
0.0003333333333333333 0.029827523154640823 0.032321877724302665
0.00025 0.032171750476719975 0.03492530018794039
0.0002 0.03485022885402296 0.037747468725813506
0.0001 0.048103624234149385 0.051007684887598825
5e-05 0.06720763743698738 0.06969421141220163
3.3333333333333335e-05 0.08189664820765141 0.08398050665041942
2.5e-05 0.10104250807392583 0.10304089593003551
2e-05 0.1284626175819307 0.13076530121866822
1e-05 0.3513292397841773 0.3577940888823609
5e-06 0.8308127215288661 0.8456677771648217
3.3333333333333333e-06 1.1793152081117293 1.1994614706279405
2.5e-06 1.4235524468310188 1.4467834237023323
2e-06 1.6031151046612024 1.6283834393622911
1e-06 2.327605952461555 2.3897698950369746
