eta   MSEtrain  MSEtest
1 0.030849394345367143 0.03466647219452237
5 0.02838893413506033 0.03007158961043609
10 0.026942978946759445 0.029252652898853915
15 0.029116841506190906 0.03316217309185358
20 0.03114958117258466 0.0350246890218414
30 0.0368408872677435 0.04065041426721873
45 0.04490077815816066 0.0477577561590002
60 0.05217342075908129 0.05529062448550172
90 0.06363811613131154 0.06666131188642206
