eta   MSEtrain  MSEtest
0.002 0.029790062518059122 0.031155057345288884
0.001 0.02838893413506033 0.03007158961043609
0.0005 0.027864749542759838 0.030037067810229617
0.0003333333333333333 0.029211390492038202 0.031773941174280056
0.00025 0.031525269766355446 0.034349794497427144
0.0002 0.034218308824311115 0.037185093600692574
0.0001 0.047646702807906526 0.05059974678878064
5e-05 0.06694328443968352 0.06945639189145747
3.3333333333333335e-05 0.0816696219632909 0.08376812852148194
2.5e-05 0.10086006784211152 0.10286835931581458
2e-05 0.12836988171380462 0.13068209808728157
1e-05 0.3518429807965714 0.35832541397171547
5e-06 0.8318839133666804 0.8467608320347019
3.3333333333333333e-06 1.1804644140551142 1.2006312468046136
2.5e-06 1.4246521385654498 1.4479014255956912
2e-06 1.60413943272088 1.6294242340880463
1e-06 2.3284752707520404 2.3906693980747002
