eta   MSEtrain  MSEtest
0.002 0.03803759116217733 0.039410027929020174
0.001 0.03695663883194317 0.0383705764512994
0.0005 0.0365434478989554 0.03832176139216016
0.0003333333333333333 0.0376088346477762 0.0396719023245824
0.00025 0.03940980177618658 0.041680692604244375
0.0002 0.04153953367015368 0.043944140286801395
0.0001 0.05265930848497589 0.05518514414597216
5e-05 0.06986137599321542 0.07213274304954839
3.3333333333333335e-05 0.08410563866089112 0.08606883408331298
2.5e-05 0.10280211629751612 0.10471840872615527
2e-05 0.12940754659828002 0.13163033150111209
1e-05 0.34685758729728977 0.3531687680812775
5e-06 0.8212979149927582 0.8359585964537585
3.3333333333333333e-06 1.1690599036738827 1.1890224395358149
2.5e-06 1.4137175303425498 1.4367846215696218
2e-06 1.5939424694158955 1.6190632458403367
1e-06 2.3198024320357997 2.38169542994904
