epochs   MSEtrain  MSEtest
20 0.04786552139105002 0.0658457922214751
40 0.028242769018847334 0.0938424309701205
60 0.019075637415696498 0.026660574136443647
80 0.010349817824657777 0.014690352508470483
100 0.012057697221185928 0.016783564928374635
120 0.008422822271428425 0.019156122878382087
140 0.011103180540834147 0.0290496038318709
160 0.0075495543454906205 0.013620998982374235
180 0.0060134513672819336 0.014753358593501196
200 0.007513111335545628 0.018573206889731225
220 0.005535713021738578 0.01852630468918993
240 0.007633123881982136 0.014532061307583029
260 0.006327523376773916 0.010149236194739524
280 0.004892592418153976 0.05901469853796639
300 0.00467183766734409 0.007135746151756291
320 0.004378311990072835 0.015031802486519339
340 0.003214318060071016 0.0073091485166361155
360 0.0036204390299259554 0.011731446564182886
380 0.0031939707817552902 0.013977375156711122
400 0.003426779517641529 0.006573219484603572
420 0.0029172624944920505 0.009369752336449322
440 0.003301331327322743 0.010329216232743764
460 0.0030608025029482825 0.010549663562221364
480 0.002562842788496833 0.007650894415628826
500 0.0026012400179913813 0.00817306446455008
520 0.002286557585990335 0.006153787233348609
540 0.0022919766351889624 0.006889530112751224
560 0.002333987184559039 0.007108395407746171
580 0.002147803901518145 0.007167818125455691
600 0.0020199952794186303 0.008982829427970124
620 0.001658586287782762 0.007945107053256314
640 0.002625048794843872 0.006911051192331397
660 0.0022232842001938345 0.007237400906001322
680 0.00244277807862717 0.012978125051458466
700 0.002126451287146841 0.009976472990662772
720 0.0019035457770866138 0.00487518893498666
740 0.0017677993313878057 0.0067210854602615
760 0.001948695420706421 0.0058485591920384005
780 0.0029357490906748527 0.012783422529808389
800 0.0019347022079311505 0.005682160614635708
820 0.0024021174669093173 0.008351643600437119
840 0.0014629496833155793 0.007527005633706282
860 0.0014089104400417576 0.003921541444080837
880 0.0018986689731294354 0.006146076725705238
900 0.0017539861423634222 0.004133675965529055
920 0.001574151321398576 0.005582546163011815
940 0.0015915691581786012 0.005945361252978786
960 0.0014027166583231879 0.008886027408311124
980 0.0019663659039560024 0.006371841129860547
1000 0.0017820622620503773 0.009617112761910388
