NumHiddLayers   Acctrain  Acctest
1 0.9951287404314544 0.9305555555555556
2 0.9993041057759221 0.9361111111111111
3 1.0 0.9222222222222223
4 1.0 0.9416666666666667
5 1.0 0.9277777777777778
6 0.9735560194850382 0.9361111111111111
7 0.9631176061238692 0.9194444444444444
8 0.9784272790535838 0.9333333333333333
9 0.9088378566457899 0.8638888888888889
10 0.8851774530271399 0.8888888888888888
11 0.9345859429366736 0.8916666666666667
12 0.906054279749478 0.8833333333333333
