eta   R2train  R2test
0.002 0.970093455251904 0.9686503945872571
0.001 0.9713976942895677 0.9696594574243784
0.0005 0.9716502920155982 0.969402736000878
0.0003333333333333333 0.9701614965509917 0.9675049633193987
0.00025 0.9678169349223094 0.9648762573197999
0.0002 0.9651380450187714 0.9620303695771231
0.0001 0.9518816266298034 0.9486779509139641
5e-05 0.9327702554603755 0.9298873076440222
3.3333333333333335e-05 0.918072613852923 0.9155571425092631
2.5e-05 0.8989142183905482 0.896492286210421
2e-05 0.8714788534259595 0.8687836328198969
1e-05 0.6485432603573351 0.6417672535098378
5e-06 0.16898790292017024 0.1534185508278396
3.3333333333333333e-06 -0.17954670972880288 -0.20091341879984986
2.5e-06 -0.4238003538957731 -0.44867311853963193
2e-06 -0.6033737145300819 -0.6306405474420519
1e-06 -1.3280839172864407 -1.3942420955763584
