layers   R2train  R2test
1 0.9970380903905004 0.973256796364812
2 0.9984506579103493 0.9890964247155231
3 0.9986399676707209 0.991963110323239
4 0.9988859100290449 0.9940661414581411
5 0.9988552240210338 0.9942051582608756
6 0.998983700018456 0.9957921766704624
7 0.9988953900185 0.9957717636578562
8 0.9986211366780388 0.9946756739773144
9 0.998959593678425 0.9959168453172093
10 0.9992526168740286 0.9968653581429682
